dt,xAcc_mma7455,yAcc_mma7455,zAcc_mma7455
2020-02-19T22:01:21.273319,38,6,68
2020-02-19T22:01:21.285962,38,6,67
2020-02-19T22:01:21.298638,39,7,67
2020-02-19T22:01:21.311570,37,6,68
2020-02-19T22:01:21.324235,39,4,67
2020-02-19T22:01:21.336870,38,6,69
2020-02-19T22:01:21.349549,38,6,68
2020-02-19T22:01:21.362230,37,6,68
2020-02-19T22:01:21.374910,38,6,67
2020-02-19T22:01:21.387554,38,5,68
2020-02-19T22:01:21.400320,38,5,67
2020-02-19T22:01:21.413008,37,5,67
2020-02-19T22:01:21.425667,39,6,67
2020-02-19T22:01:21.438301,39,6,67
2020-02-19T22:01:21.453241,38,5,67
2020-02-19T22:01:21.469564,38,5,69
2020-02-19T22:01:21.484666,38,7,67
2020-02-19T22:01:21.496906,38,5,67
2020-02-19T22:01:21.509398,39,6,67
2020-02-19T22:01:21.522050,38,5,68
2020-02-19T22:01:21.534689,39,5,68
2020-02-19T22:01:21.547358,40,6,68
2020-02-19T22:01:21.559970,39,6,67
2020-02-19T22:01:21.572663,39,6,67
2020-02-19T22:01:21.585391,39,7,69
2020-02-19T22:01:21.598062,38,6,66
2020-02-19T22:01:21.610756,38,6,68
2020-02-19T22:01:21.623437,38,6,68
2020-02-19T22:01:21.636064,38,6,67
2020-02-19T22:01:21.648732,38,6,68
2020-02-19T22:01:21.661627,39,6,67
2020-02-19T22:01:21.674250,39,7,67
2020-02-19T22:01:21.686896,39,6,66
2020-02-19T22:01:21.699584,38,5,68
2020-02-19T22:01:21.712249,38,6,68
2020-02-19T22:01:21.724908,39,7,68
2020-02-19T22:01:21.737546,39,7,68
2020-02-19T22:01:21.750224,38,7,67
2020-02-19T22:01:21.762904,39,5,66
2020-02-19T22:01:21.775519,38,5,67
2020-02-19T22:01:21.788161,38,6,67
2020-02-19T22:01:21.800898,40,6,67
2020-02-19T22:01:21.813544,39,5,67
2020-02-19T22:01:21.826206,39,6,68
2020-02-19T22:01:21.838834,38,6,68
2020-02-19T22:01:21.851636,38,7,67
2020-02-19T22:01:21.864257,38,7,68
2020-02-19T22:01:21.876923,38,6,67
2020-02-19T22:01:21.889588,38,6,67
2020-02-19T22:01:21.902259,38,6,67
2020-02-19T22:01:21.914883,39,6,68
2020-02-19T22:01:21.927546,39,5,67
2020-02-19T22:01:21.940206,39,4,67
2020-02-19T22:01:21.952876,38,5,67
2020-02-19T22:01:21.965501,39,6,69
2020-02-19T22:01:21.978168,38,7,68
2020-02-19T22:01:21.990823,38,5,68
2020-02-19T22:01:22.003457,38,6,66
2020-02-19T22:01:22.016056,37,7,68
2020-02-19T22:01:22.028692,38,5,68
2020-02-19T22:01:22.041655,37,6,67
2020-02-19T22:01:22.054331,38,7,68
2020-02-19T22:01:22.066955,38,7,66
2020-02-19T22:01:22.079634,38,5,69
2020-02-19T22:01:22.092308,38,5,68
2020-02-19T22:01:22.104991,38,5,69
2020-02-19T22:01:22.117609,39,7,68
2020-02-19T22:01:22.130306,38,5,66
2020-02-19T22:01:22.142979,38,5,67
2020-02-19T22:01:22.179400,37,6,67
2020-02-19T22:01:22.192137,39,6,67
2020-02-19T22:01:22.204768,38,5,67
2020-02-19T22:01:22.217426,38,6,68
2020-02-19T22:01:22.230079,39,6,67
2020-02-19T22:01:22.242759,38,5,69
2020-02-19T22:01:22.255406,38,6,67
2020-02-19T22:01:22.268070,39,7,67
2020-02-19T22:01:22.280753,39,6,67
2020-02-19T22:01:22.293414,39,6,67
2020-02-19T22:01:22.306049,38,5,67
2020-02-19T22:01:22.318723,38,6,68
2020-02-19T22:01:22.331655,38,6,67
2020-02-19T22:01:22.344303,38,5,68
2020-02-19T22:01:22.356894,39,5,68
2020-02-19T22:01:22.369532,39,6,68
2020-02-19T22:01:22.382229,38,6,67
2020-02-19T22:01:22.394884,38,5,67
2020-02-19T22:01:22.407485,37,6,69
2020-02-19T22:01:22.420131,40,6,67
2020-02-19T22:01:22.432804,40,5,68
2020-02-19T22:01:22.445445,39,7,67
2020-02-19T22:01:22.458061,39,5,67
2020-02-19T22:01:22.470886,38,6,67
2020-02-19T22:01:22.483591,38,4,68
2020-02-19T22:01:22.496243,39,6,67
2020-02-19T22:01:22.508835,38,5,67
2020-02-19T22:01:22.521749,38,6,67
2020-02-19T22:01:22.534381,38,6,68
2020-02-19T22:01:22.547045,38,5,67
2020-02-19T22:01:22.559695,38,6,68
2020-02-19T22:01:22.572374,38,5,67
2020-02-19T22:01:22.585012,37,6,70
2020-02-19T22:01:22.597682,38,5,69
2020-02-19T22:01:22.610308,38,6,67
2020-02-19T22:01:22.622976,39,8,67
2020-02-19T22:01:22.635606,38,5,70
2020-02-19T22:01:22.648268,38,6,68
2020-02-19T22:01:22.664103,39,6,68
2020-02-19T22:01:22.676740,37,6,68
2020-02-19T22:01:22.689400,37,6,68
2020-02-19T22:01:22.702053,38,5,67
2020-02-19T22:01:22.714709,38,5,67
2020-02-19T22:01:22.727334,38,6,67
2020-02-19T22:01:22.740028,37,6,67
2020-02-19T22:01:22.752701,38,5,67
2020-02-19T22:01:22.765358,36,4,68
2020-02-19T22:01:22.777971,39,7,65
2020-02-19T22:01:22.790802,37,8,66
2020-02-19T22:01:22.803454,40,4,69
2020-02-19T22:01:22.816111,40,5,69
2020-02-19T22:01:22.828718,40,6,67
2020-02-19T22:01:22.841528,39,7,68
2020-02-19T22:01:22.854149,36,6,66
2020-02-19T22:01:22.866806,37,6,68
2020-02-19T22:01:22.879467,41,6,67
2020-02-19T22:01:22.892140,37,7,66
2020-02-19T22:01:22.904773,40,5,68
2020-02-19T22:01:22.917440,39,5,68
2020-02-19T22:01:22.930035,40,7,66
2020-02-19T22:01:22.942712,37,6,67
2020-02-19T22:01:22.955333,40,4,68
2020-02-19T22:01:22.967995,36,6,67
2020-02-19T22:01:22.980712,39,6,67
2020-02-19T22:01:22.993387,38,5,67
2020-02-19T22:01:23.006046,39,3,68
2020-02-19T22:01:23.018716,39,6,70
2020-02-19T22:01:23.031663,38,7,66
2020-02-19T22:01:23.044307,37,6,68
2020-02-19T22:01:23.056940,40,5,68
2020-02-19T22:01:23.069619,38,5,67
2020-02-19T22:01:23.082304,37,6,67
2020-02-19T22:01:23.094961,38,4,68
2020-02-19T22:01:23.107584,39,3,68
2020-02-19T22:01:23.120252,40,6,69
2020-02-19T22:01:23.132868,39,7,68
2020-02-19T22:01:23.145483,38,6,68
2020-02-19T22:01:23.158112,39,5,70
2020-02-19T22:01:23.170751,38,6,67
2020-02-19T22:01:23.183383,39,7,67
2020-02-19T22:01:23.196049,39,8,67
2020-02-19T22:01:23.208645,38,5,69
2020-02-19T22:01:23.221783,38,5,68
2020-02-19T22:01:23.234399,39,6,67
2020-02-19T22:01:23.247054,39,6,68
2020-02-19T22:01:23.259707,38,7,68
2020-02-19T22:01:23.273144,38,5,67
2020-02-19T22:01:23.285817,37,4,69
2020-02-19T22:01:23.298493,38,6,67
2020-02-19T22:01:23.311425,38,6,68
2020-02-19T22:01:23.324097,38,7,67
2020-02-19T22:01:23.336742,38,3,69
2020-02-19T22:01:23.349424,38,5,67
2020-02-19T22:01:23.362102,38,7,67
2020-02-19T22:01:23.374773,37,6,67
2020-02-19T22:01:23.387420,37,5,68
2020-02-19T22:01:23.400102,39,5,66
2020-02-19T22:01:23.412769,37,6,69
2020-02-19T22:01:23.425435,39,5,68
2020-02-19T22:01:23.438064,37,6,68
2020-02-19T22:01:23.450884,39,5,67
2020-02-19T22:01:23.463555,39,7,67
2020-02-19T22:01:23.476222,39,6,67
2020-02-19T22:01:23.488867,40,5,67
2020-02-19T22:01:23.501644,38,6,68
2020-02-19T22:01:23.514227,38,6,67
2020-02-19T22:01:23.526847,38,7,67
2020-02-19T22:01:23.539510,39,5,68
2020-02-19T22:01:23.552173,38,5,68
2020-02-19T22:01:23.564812,38,6,69
2020-02-19T22:01:23.577479,37,5,68
2020-02-19T22:01:23.590148,37,4,69
2020-02-19T22:01:23.602820,38,5,68
2020-02-19T22:01:23.615450,39,6,69
2020-02-19T22:01:23.628098,39,8,66
2020-02-19T22:01:23.640762,38,7,65
2020-02-19T22:01:23.653420,36,7,66
2020-02-19T22:01:23.666048,37,5,67
2020-02-19T22:01:23.678698,39,6,69
2020-02-19T22:01:23.691617,39,5,69
2020-02-19T22:01:23.704288,40,4,69
2020-02-19T22:01:23.716912,40,4,67
2020-02-19T22:01:23.729586,39,5,67
2020-02-19T22:01:23.742275,38,7,66
2020-02-19T22:01:23.754941,37,8,67
2020-02-19T22:01:23.767529,38,7,68
2020-02-19T22:01:23.780271,38,6,68
2020-02-19T22:01:23.792981,40,6,68
2020-02-19T22:01:23.805647,40,4,68
2020-02-19T22:01:23.818265,38,5,66
2020-02-19T22:01:23.831048,37,7,67
2020-02-19T22:01:23.843686,38,7,67
2020-02-19T22:01:23.856366,37,6,68
2020-02-19T22:01:23.869102,38,6,69
2020-02-19T22:01:23.881780,39,4,68
2020-02-19T22:01:23.894416,40,6,68
2020-02-19T22:01:23.907082,40,6,67
2020-02-19T22:01:23.919725,41,5,66
2020-02-19T22:01:23.932401,39,6,68
2020-02-19T22:01:23.945016,37,5,69
2020-02-19T22:01:23.957685,38,7,69
2020-02-19T22:01:23.970343,38,7,66
2020-02-19T22:01:23.982957,38,5,67
2020-02-19T22:01:23.995593,38,5,67
2020-02-19T22:01:24.008283,39,4,67
2020-02-19T22:01:24.021181,39,6,69
2020-02-19T22:01:24.033849,38,6,68
2020-02-19T22:01:24.046467,38,6,68
2020-02-19T22:01:24.059318,38,5,67
2020-02-19T22:01:24.072006,38,6,67
2020-02-19T22:01:24.084659,38,5,68
2020-02-19T22:01:24.097309,39,5,68
2020-02-19T22:01:24.110009,38,6,68
2020-02-19T22:01:24.122692,38,5,69
2020-02-19T22:01:24.135340,38,6,67
2020-02-19T22:01:24.147949,38,6,66
2020-02-19T22:01:24.160800,38,6,67
2020-02-19T22:01:24.173455,39,5,68
2020-02-19T22:01:24.186146,38,6,67
2020-02-19T22:01:24.198789,38,6,68
2020-02-19T22:01:24.211593,38,6,69
2020-02-19T22:01:24.224223,38,5,66
2020-02-19T22:01:24.236911,38,6,67
2020-02-19T22:01:24.249564,39,7,67
2020-02-19T22:01:24.262211,38,4,67
2020-02-19T22:01:24.274839,37,5,69
2020-02-19T22:01:24.287512,38,7,67
2020-02-19T22:01:24.300165,39,6,68
2020-02-19T22:01:24.312819,38,5,66
2020-02-19T22:01:24.325445,38,5,66
2020-02-19T22:01:24.338103,37,6,67
2020-02-19T22:01:24.350758,38,6,69
2020-02-19T22:01:24.364215,39,6,68
2020-02-19T22:01:24.376868,38,7,67
2020-02-19T22:01:24.389566,38,6,67
2020-02-19T22:01:24.402217,40,6,69
2020-02-19T22:01:24.414875,39,6,68
2020-02-19T22:01:24.427517,38,6,66
2020-02-19T22:01:24.440301,38,5,68
2020-02-19T22:01:24.452981,39,7,68
2020-02-19T22:01:24.465636,38,8,67
2020-02-19T22:01:24.478272,39,5,67
2020-02-19T22:01:24.491101,39,5,68
2020-02-19T22:01:24.503747,39,5,67
2020-02-19T22:01:24.516421,38,7,67
2020-02-19T22:01:24.529149,39,6,69
2020-02-19T22:01:24.541835,37,6,69
2020-02-19T22:01:24.554457,38,7,67
2020-02-19T22:01:24.567117,38,6,66
2020-02-19T22:01:24.579755,39,6,67
2020-02-19T22:01:24.592441,39,4,68
2020-02-19T22:01:24.605050,38,6,69
2020-02-19T22:01:24.617678,39,7,67
2020-02-19T22:01:24.630321,37,6,67
2020-02-19T22:01:24.642993,38,5,67
2020-02-19T22:01:24.655622,37,5,67
2020-02-19T22:01:24.668288,38,7,67
2020-02-19T22:01:24.681206,38,7,67
2020-02-19T22:01:24.693896,38,6,69
2020-02-19T22:01:24.706536,38,5,69
2020-02-19T22:01:24.719332,38,6,68
2020-02-19T22:01:24.731998,38,7,67
2020-02-19T22:01:24.744663,38,5,66
